MarkID,StudentID,TeacherID,Subject,ExamType,MaxMarks,MarksObtained
107,5,3,English,Half Yearly,100,62.1
108,5,3,English,Annual Exam,100,72.6
109,5,4,Social Studies,Unit Test 1,25,19.1
110,5,4,Social Studies,Unit Test 2,25,18.3
111,5,4,Social Studies,Half Yearly,100,70.6
112,5,4,Social Studies,Annual Exam,100,73.0
113,5,5,Telugu,Unit Test 1,25,18.5
114,5,5,Telugu,Unit Test 2,25,15.5
115,5,5,Telugu,Half Yearly,100,67.1
116,5,5,Telugu,Annual Exam,100,66.8
117,5,6,Computer Science,Unit Test 1,25,17.1
118,5,6,Computer Science,Unit Test 2,25,17.1
119,5,6,Computer Science,Half Yearly,100,63.8
120,5,6,Computer Science,Annual Exam,100,64.0
121,6,1,Mathematics,Unit Test 1,25,18.7
122,6,1,Mathematics,Unit Test 2,25,21.1
123,6,1,Mathematics,Half Yearly,100,88.2
124,6,1,Mathematics,Annual Exam,100,87.7
125,6,2,Science,Unit Test 1,25,20.0
126,6,2,Science,Unit Test 2,25,24.6
127,6,2,Science,Half Yearly,100,100.0
128,6,2,Science,Annual Exam,100,75.3
129,6,3,English,Unit Test 1,25,21.4
130,6,3,English,Unit Test 2,25,15.4
131,6,3,English,Half Yearly,100,67.6
132,6,3,English,Annual Exam,100,68.3
133,6,4,Social Studies,Unit Test 1,25,19.8
134,6,4,Social Studies,Unit Test 2,25,20.0
135,6,4,Social Studies,Half Yearly,100,91.1
136,6,4,Social Studies,Annual Exam,100,87.8
137,6,5,Telugu,Unit Test 1,25,22.0
138,6,5,Telugu,Unit Test 2,25,20.9
139,6,5,Telugu,Half Yearly,100,82.9
140,6,5,Telugu,Annual Exam,100,93.7
141,6,6,Computer Science,Unit Test 1,25,17.2
142,6,6,Computer Science,Unit Test 2,25,18.5
143,6,6,Computer Science,Half Yearly,100,58.4
144,6,6,Computer Science,Annual Exam,100,79.8
145,7,1,Mathematics,Unit Test 1,25,21.6
146,7,1,Mathematics,Unit Test 2,25,18.2
147,7,1,Mathematics,Half Yearly,100,85.6
148,7,1,Mathematics,Annual Exam,100,87.9
149,7,2,Science,Unit Test 1,25,21.0
150,7,2,Science,Unit Test 2,25,19.8
151,7,2,Science,Half Yearly,100,74.4
152,7,2,Science,Annual Exam,100,77.8
153,7,3,English,Unit Test 1,25,19.6
154,7,3,English,Unit Test 2,25,17.6
155,7,3,English,Half Yearly,100,76.0
156,7,3,English,Annual Exam,100,70.4
157,7,4,Social Studies,Unit Test 1,25,16.3
158,7,4,Social Studies,Unit Test 2,25,19.2
159,7,4,Social Studies,Half Yearly,100,78.5
160,7,4,Social Studies,Annual Exam,100,94.1
161,7,5,Telugu,Unit Test 1,25,12.7
162,7,5,Telugu,Unit Test 2,25,18.1
163,7,5,Telugu,Half Yearly,100,71.4
164,7,5,Telugu,Annual Exam,100,67.5
165,7,6,Computer Science,Unit Test 1,25,17.8
166,7,6,Computer Science,Unit Test 2,25,19.6
167,7,6,Computer Science,Half Yearly,100,87.1
168,7,6,Computer Science,Annual Exam,100,97.6
169,8,1,Mathematics,Unit Test 1,25,15.3
170,8,1,Mathematics,Unit Test 2,25,15.6
171,8,1,Mathematics,Half Yearly,100,56.7
172,8,1,Mathematics,Annual Exam,100,64.9
173,8,2,Science,Unit Test 1,25,17.5
174,8,2,Science,Unit Test 2,25,12.5
175,8,2,Science,Half Yearly,100,57.6
176,8,2,Science,Annual Exam,100,69.8
177,8,3,English,Unit Test 1,25,17.9
178,8,3,English,Unit Test 2,25,12.7
179,8,3,English,Half Yearly,100,65.0
180,8,3,English,Annual Exam,100,65.7
181,8,4,Social Studies,Unit Test 1,25,13.9
182,8,4,Social Studies,Unit Test 2,25,16.3
183,8,4,Social Studies,Half Yearly,100,63.2
184,8,4,Social Studies,Annual Exam,100,60.9
185,8,5,Telugu,Unit Test 1,25,18.9
186,8,5,Telugu,Unit Test 2,25,17.5
187,8,5,Telugu,Half Yearly,100,47.4
188,8,5,Telugu,Annual Exam,100,52.6
189,8,6,Computer Science,Unit Test 1,25,13.2
190,8,6,Computer Science,Unit Test 2,25,16.7
191,8,6,Computer Science,Half Yearly,100,52.3
192,8,6,Computer Science,Annual Exam,100,70.5
193,9,1,Mathematics,Unit Test 1,25,21.4
194,9,1,Mathematics,Unit Test 2,25,21.1
195,9,1,Mathematics,Half Yearly,100,81.3
196,9,1,Mathematics,Annual Exam,100,95.0
197,9,2,Science,Unit Test 1,25,20.6
198,9,2,Science,Unit Test 2,25,20.8
199,9,2,Science,Half Yearly,100,94.8
200,9,2,Science,Annual Exam,100,93.9
201,9,3,English,Unit Test 1,25,23.3
202,9,3,English,Unit Test 2,25,22.3
203,9,3,English,Half Yearly,100,82.0
204,9,3,English,Annual Exam,100,68.1
205,9,4,Social Studies,Unit Test 1,25,21.8
206,9,4,Social Studies,Unit Test 2,25,24.6
207,9,4,Social Studies,Half Yearly,100,90.9
208,9,4,Social Studies,Annual Exam,100,93.5
209,9,5,Telugu,Unit Test 1,25,22.9
210,9,5,Telugu,Unit Test 2,25,22.4
211,9,5,Telugu,Half Yearly,100,87.2
212,9,5,Telugu,Annual Exam,100,87.7
213,9,6,Computer Science,Unit Test 1,25,24.5
214,9,6,Computer Science,Unit Test 2,25,24.8
215,9,6,Computer Science,Half Yearly,100,85.9
216,9,6,Computer Science,Annual Exam,100,100.0
217,10,1,Mathematics,Unit Test 1,25,18.9
218,10,1,Mathematics,Unit Test 2,25,15.6
219,10,1,Mathematics,Half Yearly,100,71.4
220,10,1,Mathematics,Annual Exam,100,74.7
221,10,2,Science,Unit Test 1,25,15.6
222,10,2,Science,Unit Test 2,25,13.4
223,10,2,Science,Half Yearly,100,63.6
224,10,2,Science,Annual Exam,100,87.0
225,10,3,English,Unit Test 1,25,22.6
226,10,3,English,Unit Test 2,25,21.5
227,10,3,English,Half Yearly,100,99.3
228,10,3,English,Annual Exam,100,95.7
229,10,4,Social Studies,Unit Test 1,25,20.6
230,10,4,Social Studies,Unit Test 2,25,20.1
231,10,4,Social Studies,Half Yearly,100,84.0
232,10,4,Social Studies,Annual Exam,100,75.9
233,10,5,Telugu,Unit Test 1,25,18.4
234,10,5,Telugu,Unit Test 2,25,20.9
235,10,5,Telugu,Half Yearly,100,77.5
236,10,5,Telugu,Annual Exam,100,71.4
237,10,6,Computer Science,Unit Test 1,25,18.7
238,10,6,Computer Science,Unit Test 2,25,19.7
239,10,6,Computer Science,Half Yearly,100,76.0
240,10,6,Computer Science,Annual Exam,100,56.9
241,11,1,Mathematics,Unit Test 1,25,10.4
242,11,1,Mathematics,Unit Test 2,25,12.7
243,11,1,Mathematics,Half Yearly,100,47.5
244,11,1,Mathematics,Annual Exam,100,41.6
245,11,2,Science,Unit Test 1,25,14.0
246,11,2,Science,Unit Test 2,25,8.8
247,11,2,Science,Half Yearly,100,34.4
248,11,2,Science,Annual Exam,100,42.3
249,11,3,English,Unit Test 1,25,11.2
250,11,3,English,Unit Test 2,25,13.1
251,11,3,English,Half Yearly,100,56.1
252,11,3,English,Annual Exam,100,47.7
253,11,4,Social Studies,Unit Test 1,25,9.0
254,11,4,Social Studies,Unit Test 2,25,10.6
255,11,4,Social Studies,Half Yearly,100,44.3
256,11,4,Social Studies,Annual Exam,100,67.8
257,11,5,Telugu,Unit Test 1,25,8.6
258,11,5,Telugu,Unit Test 2,25,11.5
259,11,5,Telugu,Half Yearly,100,40.1
260,11,5,Telugu,Annual Exam,100,35.6
261,11,6,Computer Science,Unit Test 1,25,13.8
262,11,6,Computer Science,Unit Test 2,25,11.2
263,11,6,Computer Science,Half Yearly,100,25.6
264,11,6,Computer Science,Annual Exam,100,39.0
265,12,1,Mathematics,Unit Test 1,25,24.0
266,12,1,Mathematics,Unit Test 2,25,21.5
267,12,1,Mathematics,Half Yearly,100,90.9
268,12,1,Mathematics,Annual Exam,100,89.2
269,12,2,Science,Unit Test 1,25,20.9
270,12,2,Science,Unit Test 2,25,19.8
271,12,2,Science,Half Yearly,100,91.0
272,12,2,Science,Annual Exam,100,80.0
273,12,3,English,Unit Test 1,25,19.7
274,12,3,English,Unit Test 2,25,20.1
275,12,3,English,Half Yearly,100,87.0
276,12,3,English,Annual Exam,100,73.3
277,12,4,Social Studies,Unit Test 1,25,22.9
278,12,4,Social Studies,Unit Test 2,25,24.1
279,12,4,Social Studies,Half Yearly,100,89.1
280,12,4,Social Studies,Annual Exam,100,88.1
281,12,5,Telugu,Unit Test 1,25,23.0
282,12,5,Telugu,Unit Test 2,25,23.5
283,12,5,Telugu,Half Yearly,100,87.8
284,12,5,Telugu,Annual Exam,100,78.2
285,12,6,Computer Science,Unit Test 1,25,15.5
286,12,6,Computer Science,Unit Test 2,25,19.1
287,12,6,Computer Science,Half Yearly,100,68.5
288,12,6,Computer Science,Annual Exam,100,60.1
289,13,1,Mathematics,Unit Test 1,25,20.8
290,13,1,Mathematics,Unit Test 2,25,21.7
291,13,1,Mathematics,Half Yearly,100,77.6
292,13,1,Mathematics,Annual Exam,100,76.4
293,13,2,Science,Unit Test 1,25,14.2
294,13,2,Science,Unit Test 2,25,21.0
295,13,2,Science,Half Yearly,100,76.7
296,13,2,Science,Annual Exam,100,60.2
297,13,3,English,Unit Test 1,25,17.6
298,13,3,English,Unit Test 2,25,19.1
299,13,3,English,Half Yearly,100,71.6
300,13,3,English,Annual Exam,100,68.0
301,13,4,Social Studies,Unit Test 1,25,18.3
302,13,4,Social Studies,Unit Test 2,25,18.3
303,13,4,Social Studies,Half Yearly,100,63.9
304,13,4,Social Studies,Annual Exam,100,70.9
305,13,5,Telugu,Unit Test 1,25,18.9
306,13,5,Telugu,Unit Test 2,25,18.7
307,13,5,Telugu,Half Yearly,100,82.5
308,13,5,Telugu,Annual Exam,100,73.4
309,13,6,Computer Science,Unit Test 1,25,22.5
310,13,6,Computer Science,Unit Test 2,25,14.5
311,13,6,Computer Science,Half Yearly,100,84.0
312,13,6,Computer Science,Annual Exam,100,74.3
313,14,1,Mathematics,Unit Test 1,25,25.0
314,14,1,Mathematics,Unit Test 2,25,21.6
315,14,1,Mathematics,Half Yearly,100,79.2
316,14,1,Mathematics,Annual Exam,100,87.2
317,14,2,Science,Unit Test 1,25,21.7
318,14,2,Science,Unit Test 2,25,23.6
319,14,2,Science,Half Yearly,100,88.9
320,14,2,Science,Annual Exam,100,93.0
321,14,3,English,Unit Test 1,25,23.2
322,14,3,English,Unit Test 2,25,20.9
323,14,3,English,Half Yearly,100,97.1
324,14,3,English,Annual Exam,100,93.2
325,14,4,Social Studies,Unit Test 1,25,21.9
326,14,4,Social Studies,Unit Test 2,25,21.9
327,14,4,Social Studies,Half Yearly,100,86.1
328,14,4,Social Studies,Annual Exam,100,91.1
329,14,5,Telugu,Unit Test 1,25,16.8
330,14,5,Telugu,Unit Test 2,25,19.1
331,14,5,Telugu,Half Yearly,100,79.5
332,14,5,Telugu,Annual Exam,100,82.2
333,14,6,Computer Science,Unit Test 1,25,22.4
334,14,6,Computer Science,Unit Test 2,25,19.8
335,14,6,Computer Science,Half Yearly,100,78.7
336,14,6,Computer Science,Annual Exam,100,91.3
337,15,1,Mathematics,Unit Test 1,25,12.8
338,15,1,Mathematics,Unit Test 2,25,9.2
339,15,1,Mathematics,Half Yearly,100,39.1
340,15,1,Mathematics,Annual Exam,100,58.8
341,15,2,Science,Unit Test 1,25,13.1
342,15,2,Science,Unit Test 2,25,11.3
343,15,2,Science,Half Yearly,100,47.7
344,15,2,Science,Annual Exam,100,50.6
345,15,3,English,Unit Test 1,25,8.0
346,15,3,English,Unit Test 2,25,12.3
347,15,3,English,Half Yearly,100,39.0
348,15,3,English,Annual Exam,100,49.3
349,15,4,Social Studies,Unit Test 1,25,9.0
350,15,4,Social Studies,Unit Test 2,25,9.9
351,15,4,Social Studies,Half Yearly,100,38.0
352,15,4,Social Studies,Annual Exam,100,35.9
353,15,5,Telugu,Unit Test 1,25,11.8
354,15,5,Telugu,Unit Test 2,25,10.2
355,15,5,Telugu,Half Yearly,100,50.7
356,15,5,Telugu,Annual Exam,100,44.9
357,15,6,Computer Science,Unit Test 1,25,11.5
358,15,6,Computer Science,Unit Test 2,25,15.3
359,15,6,Computer Science,Half Yearly,100,73.6
360,15,6,Computer Science,Annual Exam,100,55.3
361,16,1,Mathematics,Unit Test 1,25,19.1
362,16,1,Mathematics,Unit Test 2,25,16.8
363,16,1,Mathematics,Half Yearly,100,68.3
364,16,1,Mathematics,Annual Exam,100,72.7
365,16,2,Science,Unit Test 1,25,20.7
366,16,2,Science,Unit Test 2,25,22.4
367,16,2,Science,Half Yearly,100,88.7
368,16,2,Science,Annual Exam,100,85.8
369,16,3,English,Unit Test 1,25,18.7
370,16,3,English,Unit Test 2,25,22.9
371,16,3,English,Half Yearly,100,100.0
372,16,3,English,Annual Exam,100,86.9
373,16,4,Social Studies,Unit Test 1,25,22.1
374,16,4,Social Studies,Unit Test 2,25,23.5
375,16,4,Social Studies,Half Yearly,100,91.7
376,16,4,Social Studies,Annual Exam,100,84.4
377,16,5,Telugu,Unit Test 1,25,20.9
378,16,5,Telugu,Unit Test 2,25,22.2
379,16,5,Telugu,Half Yearly,100,100.0
380,16,5,Telugu,Annual Exam,100,85.7
381,16,6,Computer Science,Unit Test 1,25,21.3
382,16,6,Computer Science,Unit Test 2,25,21.6
383,16,6,Computer Science,Half Yearly,100,88.0
384,16,6,Computer Science,Annual Exam,100,81.9
385,17,1,Mathematics,Unit Test 1,25,10.1
386,17,1,Mathematics,Unit Test 2,25,16.1
387,17,1,Mathematics,Half Yearly,100,83.2
388,17,1,Mathematics,Annual Exam,100,56.1
389,17,2,Science,Unit Test 1,25,16.0
390,17,2,Science,Unit Test 2,25,13.3
391,17,2,Science,Half Yearly,100,54.6
392,17,2,Science,Annual Exam,100,66.8
393,17,3,English,Unit Test 1,25,15.9
394,17,3,English,Unit Test 2,25,19.2
395,17,3,English,Half Yearly,100,78.3
396,17,3,English,Annual Exam,100,74.2
397,17,4,Social Studies,Unit Test 1,25,14.3
398,17,4,Social Studies,Unit Test 2,25,17.5
399,17,4,Social Studies,Half Yearly,100,54.5
400,17,4,Social Studies,Annual Exam,100,53.0
401,17,5,Telugu,Unit Test 1,25,14.6
402,17,5,Telugu,Unit Test 2,25,13.0
403,17,5,Telugu,Half Yearly,100,59.6
404,17,5,Telugu,Annual Exam,100,72.9
405,17,6,Computer Science,Unit Test 1,25,15.5
406,17,6,Computer Science,Unit Test 2,25,14.5
407,17,6,Computer Science,Half Yearly,100,61.2
408,17,6,Computer Science,Annual Exam,100,77.7
409,18,1,Mathematics,Unit Test 1,25,19.4
410,18,1,Mathematics,Unit Test 2,25,21.0
411,18,1,Mathematics,Half Yearly,100,87.6
412,18,1,Mathematics,Annual Exam,100,86.9
413,18,2,Science,Unit Test 1,25,22.2
414,18,2,Science,Unit Test 2,25,19.1
415,18,2,Science,Half Yearly,100,76.8
416,18,2,Science,Annual Exam,100,85.8
417,18,3,English,Unit Test 1,25,16.6
418,18,3,English,Unit Test 2,25,21.4
419,18,3,English,Half Yearly,100,72.7
420,18,3,English,Annual Exam,100,82.9
421,18,4,Social Studies,Unit Test 1,25,16.0
422,18,4,Social Studies,Unit Test 2,25,19.1
423,18,4,Social Studies,Half Yearly,100,76.3
424,18,4,Social Studies,Annual Exam,100,57.9
425,18,5,Telugu,Unit Test 1,25,21.6
426,18,5,Telugu,Unit Test 2,25,19.8
427,18,5,Telugu,Half Yearly,100,72.9
428,18,5,Telugu,Annual Exam,100,71.7
429,18,6,Computer Science,Unit Test 1,25,19.4
430,18,6,Computer Science,Unit Test 2,25,22.0
431,18,6,Computer Science,Half Yearly,100,74.3
432,18,6,Computer Science,Annual Exam,100,90.9
433,19,1,Mathematics,Unit Test 1,25,21.3
434,19,1,Mathematics,Unit Test 2,25,17.4
435,19,1,Mathematics,Half Yearly,100,66.9
436,19,1,Mathematics,Annual Exam,100,75.9
437,19,2,Science,Unit Test 1,25,20.1
438,19,2,Science,Unit Test 2,25,20.6
439,19,2,Science,Half Yearly,100,84.3
440,19,2,Science,Annual Exam,100,82.5
441,19,3,English,Unit Test 1,25,24.2
442,19,3,English,Unit Test 2,25,13.6
443,19,3,English,Half Yearly,100,72.9
444,19,3,English,Annual Exam,100,67.9
445,19,4,Social Studies,Unit Test 1,25,20.5
446,19,4,Social Studies,Unit Test 2,25,19.7
447,19,4,Social Studies,Half Yearly,100,79.9
448,19,4,Social Studies,Annual Exam,100,63.5
449,19,5,Telugu,Unit Test 1,25,17.2
450,19,5,Telugu,Unit Test 2,25,18.4
451,19,5,Telugu,Half Yearly,100,66.4
452,19,5,Telugu,Annual Exam,100,69.4
453,19,6,Computer Science,Unit Test 1,25,21.4
454,19,6,Computer Science,Unit Test 2,25,18.0
455,19,6,Computer Science,Half Yearly,100,91.4
456,19,6,Computer Science,Annual Exam,100,88.0
457,20,1,Mathematics,Unit Test 1,25,17.6
458,20,1,Mathematics,Unit Test 2,25,14.9
459,20,1,Mathematics,Half Yearly,100,70.7
460,20,1,Mathematics,Annual Exam,100,80.8
461,20,2,Science,Unit Test 1,25,12.7
462,20,2,Science,Unit Test 2,25,12.7
463,20,2,Science,Half Yearly,100,67.6
464,20,2,Science,Annual Exam,100,70.6
465,20,3,English,Unit Test 1,25,20.1
466,20,3,English,Unit Test 2,25,21.8
467,20,3,English,Half Yearly,100,80.1
468,20,3,English,Annual Exam,100,83.0
469,20,4,Social Studies,Unit Test 1,25,18.4
470,20,4,Social Studies,Unit Test 2,25,12.9
471,20,4,Social Studies,Half Yearly,100,61.1
472,20,4,Social Studies,Annual Exam,100,68.1
473,20,5,Telugu,Unit Test 1,25,18.0
474,20,5,Telugu,Unit Test 2,25,17.5
475,20,5,Telugu,Half Yearly,100,54.1
476,20,5,Telugu,Annual Exam,100,77.2
477,20,6,Computer Science,Unit Test 1,25,20.4
478,20,6,Computer Science,Unit Test 2,25,17.9
479,20,6,Computer Science,Half Yearly,100,71.1
480,20,6,Computer Science,Annual Exam,100,80.6
481,21,1,Mathematics,Unit Test 1,25,21.8
482,21,1,Mathematics,Unit Test 2,25,18.7
483,21,1,Mathematics,Half Yearly,100,76.8
484,21,1,Mathematics,Annual Exam,100,66.9
485,21,2,Science,Unit Test 1,25,15.6
486,21,2,Science,Unit Test 2,25,17.7
487,21,2,Science,Half Yearly,100,70.6
488,21,2,Science,Annual Exam,100,69.7
489,21,3,English,Unit Test 1,25,18.8
490,21,3,English,Unit Test 2,25,21.7
491,21,3,English,Half Yearly,100,73.8
492,21,3,English,Annual Exam,100,74.0
493,21,4,Social Studies,Unit Test 1,25,18.5
494,21,4,Social Studies,Unit Test 2,25,16.7
495,21,4,Social Studies,Half Yearly,100,64.9
496,21,4,Social Studies,Annual Exam,100,68.0
497,21,5,Telugu,Unit Test 1,25,23.8
498,21,5,Telugu,Unit Test 2,25,21.4
499,21,5,Telugu,Half Yearly,100,83.3
500,21,5,Telugu,Annual Exam,100,72.0
501,21,6,Computer Science,Unit Test 1,25,20.9
502,21,6,Computer Science,Unit Test 2,25,17.4
503,21,6,Computer Science,Half Yearly,100,81.7
504,21,6,Computer Science,Annual Exam,100,63.6
505,22,1,Mathematics,Unit Test 1,25,21.4
506,22,1,Mathematics,Unit Test 2,25,20.0
507,22,1,Mathematics,Half Yearly,100,81.7
508,22,1,Mathematics,Annual Exam,100,84.6
509,22,2,Science,Unit Test 1,25,21.6
510,22,2,Science,Unit Test 2,25,22.2
511,22,2,Science,Half Yearly,100,71.6
512,22,2,Science,Annual Exam,100,78.9
513,22,3,English,Unit Test 1,25,16.6
514,22,3,English,Unit Test 2,25,17.6
515,22,3,English,Half Yearly,100,76.9
516,22,3,English,Annual Exam,100,69.7
517,22,4,Social Studies,Unit Test 1,25,22.1
518,22,4,Social Studies,Unit Test 2,25,23.9
519,22,4,Social Studies,Half Yearly,100,85.0
520,22,4,Social Studies,Annual Exam,100,85.6
521,22,5,Telugu,Unit Test 1,25,19.2
522,22,5,Telugu,Unit Test 2,25,17.2
523,22,5,Telugu,Half Yearly,100,69.2
524,22,5,Telugu,Annual Exam,100,64.0
525,22,6,Computer Science,Unit Test 1,25,20.8
526,22,6,Computer Science,Unit Test 2,25,22.0
527,22,6,Computer Science,Half Yearly,100,86.0
528,22,6,Computer Science,Annual Exam,100,81.4
529,23,1,Mathematics,Unit Test 1,25,18.6
530,23,1,Mathematics,Unit Test 2,25,17.7
531,23,1,Mathematics,Half Yearly,100,93.7
532,23,1,Mathematics,Annual Exam,100,72.5
533,23,2,Science,Unit Test 1,25,20.0
534,23,2,Science,Unit Test 2,25,18.5
535,23,2,Science,Half Yearly,100,100.0
536,23,2,Science,Annual Exam,100,79.0
537,23,3,English,Unit Test 1,25,25.0
538,23,3,English,Unit Test 2,25,25.0
539,23,3,English,Half Yearly,100,100.0
540,23,3,English,Annual Exam,100,100.0
541,23,4,Social Studies,Unit Test 1,25,19.2
542,23,4,Social Studies,Unit Test 2,25,21.5
543,23,4,Social Studies,Half Yearly,100,78.3
544,23,4,Social Studies,Annual Exam,100,85.2
545,23,5,Telugu,Unit Test 1,25,24.7
546,23,5,Telugu,Unit Test 2,25,19.9
547,23,5,Telugu,Half Yearly,100,87.3
548,23,5,Telugu,Annual Exam,100,79.0
549,23,6,Computer Science,Unit Test 1,25,25.0
550,23,6,Computer Science,Unit Test 2,25,23.1
551,23,6,Computer Science,Half Yearly,100,91.7
552,23,6,Computer Science,Annual Exam,100,96.2
553,24,1,Mathematics,Unit Test 1,25,15.4
554,24,1,Mathematics,Unit Test 2,25,15.4
555,24,1,Mathematics,Half Yearly,100,52.1
556,24,1,Mathematics,Annual Exam,100,56.6
557,24,2,Science,Unit Test 1,25,15.9
558,24,2,Science,Unit Test 2,25,13.8
559,24,2,Science,Half Yearly,100,39.5
560,24,2,Science,Annual Exam,100,56.7
561,24,3,English,Unit Test 1,25,19.7
562,24,3,English,Unit Test 2,25,18.1
563,24,3,English,Half Yearly,100,57.3
564,24,3,English,Annual Exam,100,80.5
565,24,4,Social Studies,Unit Test 1,25,13.9
566,24,4,Social Studies,Unit Test 2,25,20.1
567,24,4,Social Studies,Half Yearly,100,65.6
568,24,4,Social Studies,Annual Exam,100,75.4
569,24,5,Telugu,Unit Test 1,25,14.6
570,24,5,Telugu,Unit Test 2,25,15.4
571,24,5,Telugu,Half Yearly,100,53.4
572,24,5,Telugu,Annual Exam,100,53.8
573,24,6,Computer Science,Unit Test 1,25,16.2
574,24,6,Computer Science,Unit Test 2,25,18.5
575,24,6,Computer Science,Half Yearly,100,70.6
576,24,6,Computer Science,Annual Exam,100,74.2
