FeeID,StudentID,Term,AmountDue,AmountPaid,PaymentStatus,PaymentMode
183,61,Term 3,6000,6000,Paid,Cash
184,62,Term 1,6000,6000,Paid,Razorpay (Online)
185,62,Term 2,6000,6000,Paid,Cash
186,62,Term 3,6000,0,Pending,
187,63,Term 1,6000,130,Overdue,
188,63,Term 2,6000,6000,Paid,Razorpay (Online)
189,63,Term 3,6000,547,Overdue,
190,64,Term 1,6000,6000,Paid,Bank Transfer
191,64,Term 2,6000,0,Pending,
192,64,Term 3,6000,6000,Paid,Razorpay (Online)
193,65,Term 1,6000,6000,Paid,Razorpay (Online)
194,65,Term 2,6000,6000,Paid,Razorpay (Online)
195,65,Term 3,6000,6000,Paid,Cash
196,66,Term 1,6000,6000,Paid,Razorpay (Online)
197,66,Term 2,6000,6000,Paid,Razorpay (Online)
198,66,Term 3,6000,6000,Paid,Razorpay (Online)
199,67,Term 1,6000,6000,Paid,Bank Transfer
200,67,Term 2,6000,6000,Paid,Cash
201,67,Term 3,6000,6000,Paid,Razorpay (Online)
202,68,Term 1,6000,6000,Paid,Razorpay (Online)
203,68,Term 2,6000,6000,Paid,Razorpay (Online)
204,68,Term 3,6000,6000,Paid,Razorpay (Online)
205,69,Term 1,6000,6000,Paid,Bank Transfer
206,69,Term 2,6000,1693,Overdue,
207,69,Term 3,6000,6000,Paid,Bank Transfer
208,70,Term 1,6000,6000,Paid,Cash
209,70,Term 2,6000,6000,Paid,Razorpay (Online)
210,70,Term 3,6000,2479,Overdue,
211,71,Term 1,6000,6000,Paid,Bank Transfer
212,71,Term 2,6000,6000,Paid,Cash
213,71,Term 3,6000,6000,Paid,Cash
214,72,Term 1,6000,6000,Paid,Razorpay (Online)
215,72,Term 2,6000,0,Pending,
216,72,Term 3,6000,6000,Paid,Razorpay (Online)
217,73,Term 1,6000,6000,Paid,Cash
218,73,Term 2,6000,6000,Paid,Bank Transfer
219,73,Term 3,6000,6000,Paid,Razorpay (Online)
220,74,Term 1,6000,0,Pending,
221,74,Term 2,6000,6000,Paid,Bank Transfer
222,74,Term 3,6000,6000,Paid,Cash
223,75,Term 1,6000,6000,Paid,Razorpay (Online)
224,75,Term 2,6000,6000,Paid,Razorpay (Online)
225,75,Term 3,6000,857,Overdue,
226,76,Term 1,6000,0,Pending,
227,76,Term 2,6000,6000,Paid,Razorpay (Online)
228,76,Term 3,6000,6000,Paid,Bank Transfer
229,77,Term 1,6000,6000,Paid,Cash
230,77,Term 2,6000,0,Pending,
231,77,Term 3,6000,6000,Paid,Razorpay (Online)
232,78,Term 1,6000,0,Pending,
233,78,Term 2,6000,0,Pending,
234,78,Term 3,6000,6000,Paid,Bank Transfer
235,79,Term 1,6000,6000,Paid,Cash
236,79,Term 2,6000,6000,Paid,Razorpay (Online)
237,79,Term 3,6000,0,Pending,
238,80,Term 1,6000,6000,Paid,Razorpay (Online)
239,80,Term 2,6000,6000,Paid,Razorpay (Online)
240,80,Term 3,6000,6000,Paid,Razorpay (Online)
241,81,Term 1,6000,6000,Paid,Bank Transfer
242,81,Term 2,6000,6000,Paid,Razorpay (Online)
243,81,Term 3,6000,6000,Paid,Cash
244,82,Term 1,6000,1621,Overdue,
245,82,Term 2,6000,0,Pending,
246,82,Term 3,6000,6000,Paid,Razorpay (Online)
247,83,Term 1,6000,1405,Overdue,
248,83,Term 2,6000,6000,Paid,Razorpay (Online)
249,83,Term 3,6000,6000,Paid,Razorpay (Online)
250,84,Term 1,6000,6000,Paid,Bank Transfer
251,84,Term 2,6000,6000,Paid,Cash
252,84,Term 3,6000,6000,Paid,Razorpay (Online)
253,85,Term 1,6000,6000,Paid,Razorpay (Online)
254,85,Term 2,6000,2122,Overdue,
255,85,Term 3,6000,6000,Paid,Razorpay (Online)
256,86,Term 1,6000,0,Pending,
257,86,Term 2,6000,6000,Paid,Cash
258,86,Term 3,6000,0,Pending,
259,87,Term 1,6000,0,Pending,
260,87,Term 2,6000,2352,Overdue,
261,87,Term 3,6000,6000,Paid,Razorpay (Online)
262,88,Term 1,6000,6000,Paid,Razorpay (Online)
263,88,Term 2,6000,6000,Paid,Razorpay (Online)
264,88,Term 3,6000,6000,Paid,Cash
265,89,Term 1,6000,6000,Paid,Cash
266,89,Term 2,6000,0,Pending,
267,89,Term 3,6000,6000,Paid,Razorpay (Online)
268,90,Term 1,6000,0,Pending,
269,90,Term 2,6000,6000,Paid,Razorpay (Online)
270,90,Term 3,6000,2923,Overdue,
271,91,Term 1,6000,6000,Paid,Razorpay (Online)
272,91,Term 2,6000,1972,Overdue,
273,91,Term 3,6000,6000,Paid,Razorpay (Online)
274,92,Term 1,6000,0,Pending,
275,92,Term 2,6000,6000,Paid,Razorpay (Online)
276,92,Term 3,6000,6000,Paid,Razorpay (Online)
277,93,Term 1,6000,6000,Paid,Razorpay (Online)
278,93,Term 2,6000,6000,Paid,Razorpay (Online)
279,93,Term 3,6000,6000,Paid,Razorpay (Online)
280,94,Term 1,6000,6000,Paid,Razorpay (Online)
281,94,Term 2,6000,0,Pending,
282,94,Term 3,6000,0,Pending,
283,95,Term 1,6000,6000,Paid,Razorpay (Online)
284,95,Term 2,6000,2816,Overdue,
285,95,Term 3,6000,2168,Overdue,
286,96,Term 1,6000,6000,Paid,Razorpay (Online)
287,96,Term 2,6000,6000,Paid,Bank Transfer
288,96,Term 3,6000,0,Pending,
289,97,Term 1,6000,6000,Paid,Cash
290,97,Term 2,6000,6000,Paid,Bank Transfer
291,97,Term 3,6000,6000,Paid,Bank Transfer
292,98,Term 1,6000,0,Pending,
293,98,Term 2,6000,0,Pending,
294,98,Term 3,6000,0,Pending,
295,99,Term 1,6000,6000,Paid,Cash
296,99,Term 2,6000,6000,Paid,Cash
297,99,Term 3,6000,6000,Paid,Razorpay (Online)
298,100,Term 1,6000,6000,Paid,Razorpay (Online)
299,100,Term 2,6000,0,Pending,
300,100,Term 3,6000,6000,Paid,Razorpay (Online)
301,101,Term 1,6000,6000,Paid,Bank Transfer
302,101,Term 2,6000,6000,Paid,Razorpay (Online)
303,101,Term 3,6000,6000,Paid,Cash
304,102,Term 1,6000,6000,Paid,Razorpay (Online)
305,102,Term 2,6000,0,Pending,
306,102,Term 3,6000,6000,Paid,Razorpay (Online)
307,103,Term 1,6000,6000,Paid,Razorpay (Online)
308,103,Term 2,6000,6000,Paid,Razorpay (Online)
309,103,Term 3,6000,6000,Paid,Cash
310,104,Term 1,6000,2582,Overdue,
311,104,Term 2,6000,6000,Paid,Bank Transfer
312,104,Term 3,6000,6000,Paid,Cash
313,105,Term 1,6000,6000,Paid,Razorpay (Online)
314,105,Term 2,6000,6000,Paid,Razorpay (Online)
315,105,Term 3,6000,6000,Paid,Cash
316,106,Term 1,6000,6000,Paid,Razorpay (Online)
317,106,Term 2,6000,29,Overdue,
318,106,Term 3,6000,6000,Paid,Razorpay (Online)
319,107,Term 1,6000,6000,Paid,Razorpay (Online)
320,107,Term 2,6000,6000,Paid,Razorpay (Online)
321,107,Term 3,6000,6000,Paid,Cash
322,108,Term 1,6000,2941,Overdue,
323,108,Term 2,6000,6000,Paid,Cash
324,108,Term 3,6000,0,Pending,
325,109,Term 1,6000,6000,Paid,Razorpay (Online)
326,109,Term 2,6000,6000,Paid,Cash
327,109,Term 3,6000,6000,Paid,Razorpay (Online)
328,110,Term 1,6000,0,Pending,
329,110,Term 2,6000,378,Overdue,
330,110,Term 3,6000,6000,Paid,Cash
331,111,Term 1,6000,6000,Paid,Bank Transfer
332,111,Term 2,6000,6000,Paid,Razorpay (Online)
333,111,Term 3,6000,6000,Paid,Cash
334,112,Term 1,6000,6000,Paid,Cash
335,112,Term 2,6000,0,Pending,
336,112,Term 3,6000,6000,Paid,Bank Transfer
337,113,Term 1,6000,6000,Paid,Cash
338,113,Term 2,6000,6000,Paid,Razorpay (Online)
339,113,Term 3,6000,6000,Paid,Cash
340,114,Term 1,6000,0,Pending,
341,114,Term 2,6000,6000,Paid,Razorpay (Online)
342,114,Term 3,6000,2194,Overdue,
343,115,Term 1,6000,6000,Paid,Razorpay (Online)
344,115,Term 2,6000,6000,Paid,Bank Transfer
345,115,Term 3,6000,6000,Paid,Cash
346,116,Term 1,6000,6000,Paid,Cash
347,116,Term 2,6000,6000,Paid,Cash
348,116,Term 3,6000,6000,Paid,Cash
349,117,Term 1,6000,6000,Paid,Bank Transfer
350,117,Term 2,6000,6000,Paid,Bank Transfer
351,117,Term 3,6000,0,Pending,
352,118,Term 1,6000,6000,Paid,Cash
353,118,Term 2,6000,6000,Paid,Razorpay (Online)
354,118,Term 3,6000,114,Overdue,
355,119,Term 1,6000,0,Pending,
356,119,Term 2,6000,6000,Paid,Cash
357,119,Term 3,6000,6000,Paid,Cash
358,120,Term 1,6000,0,Pending,
359,120,Term 2,6000,6000,Paid,Razorpay (Online)
360,120,Term 3,6000,1924,Overdue,
361,121,Term 1,6000,6000,Paid,Razorpay (Online)
362,121,Term 2,6000,6000,Paid,Bank Transfer
363,121,Term 3,6000,6000,Paid,Bank Transfer
364,122,Term 1,6000,715,Overdue,
365,122,Term 2,6000,6000,Paid,Razorpay (Online)
366,122,Term 3,6000,2749,Overdue,
367,123,Term 1,6000,6000,Paid,Bank Transfer
368,123,Term 2,6000,6000,Paid,Razorpay (Online)
369,123,Term 3,6000,6000,Paid,Razorpay (Online)
370,124,Term 1,6000,6000,Paid,Razorpay (Online)
371,124,Term 2,6000,6000,Paid,Cash
372,124,Term 3,6000,6000,Paid,Cash
373,125,Term 1,6000,0,Pending,
374,125,Term 2,6000,6000,Paid,Razorpay (Online)
375,125,Term 3,6000,6000,Paid,Bank Transfer
376,126,Term 1,6000,6000,Paid,Bank Transfer
377,126,Term 2,6000,6000,Paid,Razorpay (Online)
378,126,Term 3,6000,6000,Paid,Bank Transfer
379,127,Term 1,6000,2601,Overdue,
380,127,Term 2,6000,0,Pending,
381,127,Term 3,6000,1090,Overdue,
382,128,Term 1,6000,6000,Paid,Cash
383,128,Term 2,6000,6000,Paid,Cash
384,128,Term 3,6000,6000,Paid,Cash
385,129,Term 1,6000,6000,Paid,Razorpay (Online)
386,129,Term 2,6000,0,Pending,
387,129,Term 3,6000,1784,Overdue,
388,130,Term 1,6000,89,Overdue,
389,130,Term 2,6000,6000,Paid,Cash
390,130,Term 3,6000,6000,Paid,Cash
391,131,Term 1,6000,6000,Paid,Razorpay (Online)
392,131,Term 2,6000,6000,Paid,Razorpay (Online)
393,131,Term 3,6000,6000,Paid,Razorpay (Online)
394,132,Term 1,6000,1707,Overdue,
395,132,Term 2,6000,0,Pending,
396,132,Term 3,6000,6000,Paid,Razorpay (Online)
397,133,Term 1,6000,6000,Paid,Cash
398,133,Term 2,6000,0,Pending,
399,133,Term 3,6000,6000,Paid,Razorpay (Online)
400,134,Term 1,6000,6000,Paid,Cash
401,134,Term 2,6000,6000,Paid,Razorpay (Online)
402,134,Term 3,6000,0,Pending,
403,135,Term 1,6000,956,Overdue,
404,135,Term 2,6000,6000,Paid,Razorpay (Online)
405,135,Term 3,6000,6000,Paid,Razorpay (Online)
406,136,Term 1,6000,6000,Paid,Cash
407,136,Term 2,6000,6000,Paid,Cash
408,136,Term 3,6000,6000,Paid,Razorpay (Online)
409,137,Term 1,6000,6000,Paid,Razorpay (Online)
410,137,Term 2,6000,6000,Paid,Razorpay (Online)
411,137,Term 3,6000,6000,Paid,Cash
412,138,Term 1,6000,6000,Paid,Razorpay (Online)
413,138,Term 2,6000,0,Pending,
414,138,Term 3,6000,0,Pending,
415,139,Term 1,6000,6000,Paid,Razorpay (Online)
416,139,Term 2,6000,6000,Paid,Razorpay (Online)
417,139,Term 3,6000,0,Pending,
418,140,Term 1,6000,6000,Paid,Razorpay (Online)
419,140,Term 2,6000,0,Pending,
420,140,Term 3,6000,6000,Paid,Cash
421,141,Term 1,6000,6000,Paid,Cash
422,141,Term 2,6000,0,Pending,
423,141,Term 3,6000,0,Pending,
424,142,Term 1,6000,6000,Paid,Razorpay (Online)
425,142,Term 2,6000,6000,Paid,Razorpay (Online)
426,142,Term 3,6000,6000,Paid,Cash
427,143,Term 1,6000,6000,Paid,Cash
428,143,Term 2,6000,6000,Paid,Razorpay (Online)
429,143,Term 3,6000,0,Pending,
430,144,Term 1,6000,6000,Paid,Razorpay (Online)
431,144,Term 2,6000,6000,Paid,Cash
432,144,Term 3,6000,6000,Paid,Razorpay (Online)
433,145,Term 1,6000,1681,Overdue,
434,145,Term 2,6000,6000,Paid,Razorpay (Online)
435,145,Term 3,6000,0,Pending,
436,146,Term 1,6000,6000,Paid,Razorpay (Online)
437,146,Term 2,6000,6000,Paid,Razorpay (Online)
438,146,Term 3,6000,6000,Paid,Razorpay (Online)
439,147,Term 1,6000,6000,Paid,Razorpay (Online)
440,147,Term 2,6000,6000,Paid,Cash
441,147,Term 3,6000,6000,Paid,Cash
442,148,Term 1,6000,6000,Paid,Razorpay (Online)
443,148,Term 2,6000,0,Pending,
444,148,Term 3,6000,6000,Paid,Cash
445,149,Term 1,6000,6000,Paid,Razorpay (Online)
446,149,Term 2,6000,6000,Paid,Cash
447,149,Term 3,6000,6000,Paid,Cash
448,150,Term 1,6000,0,Pending,
449,150,Term 2,6000,6000,Paid,Cash
450,150,Term 3,6000,6000,Paid,Cash
451,151,Term 1,6000,0,Pending,
452,151,Term 2,6000,6000,Paid,Razorpay (Online)
453,151,Term 3,6000,6000,Paid,Razorpay (Online)
454,152,Term 1,6000,6000,Paid,Razorpay (Online)
455,152,Term 2,6000,6000,Paid,Bank Transfer
456,152,Term 3,6000,6000,Paid,Razorpay (Online)
457,153,Term 1,6000,2458,Overdue,
458,153,Term 2,6000,6000,Paid,Razorpay (Online)
459,153,Term 3,6000,6000,Paid,Razorpay (Online)
460,154,Term 1,6000,6000,Paid,Razorpay (Online)
461,154,Term 2,6000,6000,Paid,Razorpay (Online)
462,154,Term 3,6000,855,Overdue,
463,155,Term 1,6000,6000,Paid,Razorpay (Online)
464,155,Term 2,6000,2112,Overdue,
465,155,Term 3,6000,6000,Paid,Cash
466,156,Term 1,6000,6000,Paid,Razorpay (Online)
467,156,Term 2,6000,0,Pending,
468,156,Term 3,6000,6000,Paid,Razorpay (Online)
469,157,Term 1,6000,6000,Paid,Bank Transfer
470,157,Term 2,6000,6000,Paid,Razorpay (Online)
471,157,Term 3,6000,0,Pending,
472,158,Term 1,6000,6000,Paid,Cash
473,158,Term 2,6000,6000,Paid,Razorpay (Online)
474,158,Term 3,6000,6000,Paid,Cash
475,159,Term 1,6000,6000,Paid,Razorpay (Online)
476,159,Term 2,6000,0,Pending,
477,159,Term 3,6000,1163,Overdue,
478,160,Term 1,6000,6000,Paid,Cash
479,160,Term 2,6000,0,Pending,
480,160,Term 3,6000,0,Pending,
481,161,Term 1,6000,6000,Paid,Razorpay (Online)
482,161,Term 2,6000,6000,Paid,Razorpay (Online)
483,161,Term 3,6000,6000,Paid,Bank Transfer
484,162,Term 1,6000,6000,Paid,Cash
485,162,Term 2,6000,0,Pending,
486,162,Term 3,6000,6000,Paid,Razorpay (Online)
487,163,Term 1,6000,6000,Paid,Razorpay (Online)
488,163,Term 2,6000,6000,Paid,Cash
489,163,Term 3,6000,6000,Paid,Razorpay (Online)
490,164,Term 1,6000,0,Pending,
491,164,Term 2,6000,0,Pending,
492,164,Term 3,6000,6000,Paid,Cash
493,165,Term 1,6000,6000,Paid,Razorpay (Online)
494,165,Term 2,6000,6000,Paid,Cash
495,165,Term 3,6000,6000,Paid,Razorpay (Online)
496,166,Term 1,6000,6000,Paid,Cash
497,166,Term 2,6000,585,Overdue,
498,166,Term 3,6000,0,Pending,
499,167,Term 1,6000,0,Pending,
500,167,Term 2,6000,6000,Paid,Cash
501,167,Term 3,6000,6000,Paid,Razorpay (Online)
502,168,Term 1,6000,6000,Paid,Razorpay (Online)
503,168,Term 2,6000,0,Pending,
504,168,Term 3,6000,0,Pending,
505,169,Term 1,6000,6000,Paid,Razorpay (Online)
506,169,Term 2,6000,6000,Paid,Bank Transfer
507,169,Term 3,6000,6000,Paid,Razorpay (Online)
508,170,Term 1,6000,6000,Paid,Cash
509,170,Term 2,6000,868,Overdue,
510,170,Term 3,6000,6000,Paid,Cash
511,171,Term 1,6000,6000,Paid,Razorpay (Online)
512,171,Term 2,6000,6000,Paid,Razorpay (Online)
513,171,Term 3,6000,6000,Paid,Razorpay (Online)
514,172,Term 1,6000,6000,Paid,Razorpay (Online)
515,172,Term 2,6000,6000,Paid,Razorpay (Online)
516,172,Term 3,6000,6000,Paid,Cash
517,173,Term 1,6000,371,Overdue,
518,173,Term 2,6000,781,Overdue,
519,173,Term 3,6000,0,Pending,
520,174,Term 1,6000,6000,Paid,Razorpay (Online)
521,174,Term 2,6000,6000,Paid,Cash
522,174,Term 3,6000,6000,Paid,Razorpay (Online)
523,175,Term 1,6000,6000,Paid,Razorpay (Online)
524,175,Term 2,6000,0,Pending,
525,175,Term 3,6000,6000,Paid,Razorpay (Online)
526,176,Term 1,6000,6000,Paid,Bank Transfer
527,176,Term 2,6000,6000,Paid,Bank Transfer
528,176,Term 3,6000,2442,Overdue,
529,177,Term 1,6000,6000,Paid,Cash
530,177,Term 2,6000,6000,Paid,Razorpay (Online)
531,177,Term 3,6000,2869,Overdue,
532,178,Term 1,6000,6000,Paid,Razorpay (Online)
533,178,Term 2,6000,1170,Overdue,
534,178,Term 3,6000,1885,Overdue,
535,179,Term 1,6000,6000,Paid,Razorpay (Online)
536,179,Term 2,6000,6000,Paid,Razorpay (Online)
537,179,Term 3,6000,6000,Paid,Bank Transfer
538,180,Term 1,6000,6000,Paid,Bank Transfer
539,180,Term 2,6000,670,Overdue,
540,180,Term 3,6000,6000,Paid,Cash
541,181,Term 1,6667,0,Pending,
542,181,Term 2,6667,6667,Paid,Razorpay (Online)
543,181,Term 3,6667,6667,Paid,Razorpay (Online)
544,182,Term 1,6667,6667,Paid,Razorpay (Online)
545,182,Term 2,6667,0,Pending,
546,182,Term 3,6667,6667,Paid,Cash
547,183,Term 1,6667,6667,Paid,Razorpay (Online)
548,183,Term 2,6667,964,Overdue,
549,183,Term 3,6667,6667,Paid,Razorpay (Online)
550,184,Term 1,6667,6667,Paid,Bank Transfer
551,184,Term 2,6667,6667,Paid,Razorpay (Online)
552,184,Term 3,6667,6667,Paid,Razorpay (Online)
553,185,Term 1,6667,6667,Paid,Cash
554,185,Term 2,6667,6667,Paid,Cash
555,185,Term 3,6667,6667,Paid,Razorpay (Online)
556,186,Term 1,6667,6667,Paid,Cash
557,186,Term 2,6667,0,Pending,
558,186,Term 3,6667,6667,Paid,Cash
559,187,Term 1,6667,6667,Paid,Cash
560,187,Term 2,6667,6667,Paid,Razorpay (Online)
561,187,Term 3,6667,0,Pending,
